brand,aspect,negative,positive,total,positive_pct,negative_pct
Audi,Comfort/Interior,87,1234,1321,93.41408024224073,6.585919757759273
Audi,Design/Style,56,564,620,90.96774193548387,9.032258064516128
Audi,Engine/Performance,189,2378,2567,92.63731982859369,7.362680171406311
Audi,Mileage/Fuel,70,471,541,87.06099815157117,12.939001848428836
Audi,Price/Value,91,480,571,84.0630472854641,15.936952714535902
Audi,Service/Maintenance,90,330,420,78.57142857142857,21.428571428571427
BMW,Comfort/Interior,130,1397,1527,91.48657498362803,8.513425016371972
BMW,Design/Style,85,744,829,89.74668275030156,10.253317249698432
BMW,Engine/Performance,289,3309,3598,91.96775986659254,8.032240133407448
BMW,Mileage/Fuel,77,600,677,88.62629246676515,11.37370753323486
BMW,Price/Value,134,720,854,84.30913348946136,15.690866510538642
BMW,Service/Maintenance,118,443,561,78.96613190730838,21.03386809269162
INFINITI,Comfort/Interior,75,961,1036,92.76061776061776,7.2393822393822385
INFINITI,Design/Style,32,424,456,92.98245614035088,7.017543859649122
INFINITI,Engine/Performance,98,1559,1657,94.08569704284852,5.914302957151478
INFINITI,Mileage/Fuel,44,341,385,88.57142857142857,11.428571428571429
INFINITI,Price/Value,52,400,452,88.49557522123894,11.504424778761061
INFINITI,Service/Maintenance,65,253,318,79.55974842767296,20.440251572327046
Lexus,Comfort/Interior,137,1422,1559,91.2123155869147,8.787684413085312
Lexus,Design/Style,66,649,715,90.76923076923077,9.230769230769232
Lexus,Engine/Performance,170,1930,2100,91.9047619047619,8.095238095238095
Lexus,Mileage/Fuel,71,536,607,88.30313014827018,11.696869851729819
Lexus,Price/Value,71,532,603,88.22553897180762,11.774461028192372
Lexus,Service/Maintenance,103,451,554,81.40794223826715,18.592057761732853
Mercedes-Benz,Comfort/Interior,158,1460,1618,90.23485784919654,9.765142150803461
Mercedes-Benz,Design/Style,85,780,865,90.17341040462428,9.826589595375722
Mercedes-Benz,Engine/Performance,236,2470,2706,91.27864005912787,8.721359940872137
Mercedes-Benz,Mileage/Fuel,97,615,712,86.37640449438202,13.623595505617978
Mercedes-Benz,Price/Value,158,631,789,79.97465145754119,20.025348542458808
Mercedes-Benz,Service/Maintenance,164,499,663,75.26395173453997,24.73604826546003
